GEO,FID,HLTHCNTYPE,HLTHCNNUM,BHCMIS,BPHCNUM,NAME,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,OPHOURS,SETTINGID,SETTNGDESC,STATUSID,STATUSDESC,MEDICRENUM,NPINUM,LOCIDNUM,LOCTYPE,TYPEIDNUM,TYPEDESC,OPIDNUM,OPDESC,OPSCHEDNUM,OPSCHDDESC,OPCLNDRKEY,OPCLNDR,SITEADDED,ADMNAME,ADMSTREET,ADMCITY,ADMSTATE,ADMZIP,ORGTYPE,XCOORD,YCOORD,MX100K,MXBRDRCNTY,FIPS,COUNTYNAME,COUNTYEQIV,COUNTYDESC,HHSRGNCODE,HHSRGNNAME,STATEFIPS,STATENAME,FIPSCNGDST,CNGDISTNUM,CNGDSTNAME,CNGDSTCODE,USREPNAME,SENATOR1,SENATOR2,CREATEDATE,BHCMISID,GRANTNUM,PATIENTS,MALE,FEMALE,UNDER6,OVER64,INDIAN,CHINESE,FILIPINO,JAPANESE,KOREAN,VIETNAMESE,OTHERASIAN,ASIANHISP,ASIANNOHIS,TOTALASIAN,HAWAIIAN,PACISLAND,GUAMANIAN,SAMOAN,HAWPIHISP,HAWPINOHIS,TOTALHAWPI,BLACKHISP,BLACKNOHIS,TOTALBLACK,AIAKHISP,AIAKNOHISP,TOTALAIAK,WHITEHISP,WHITENOHIS,TOTALWHITE,MLTRCEHISP,MLTRCENOHI,TOTALMLTRC,NORCEHISP,NORCENOHIS,NORCENOETH,TOTALNORAC,TOTALHISP,TOTALNOHIS,TOTALNOETH,NONENGLISH,FPL100BLOW,FPL101_150,FPL151_200,FPLOVER200,FPLUNKNOWN,UNINSURED,MEDICAID,MEDICARE,PUBLICINS,PRIVATEINS,MIGSEASAG,HOMELESS,SCHOOLBASE,VETERAN,HIV,TUBERC,SEXTRANSMT,HEPB,HEPC,COVID,ASTHMA,CHRONLWRSP,ACUTERESP,ABNORMBRST,ABNORMCERV,DIABETES,HARTDISEAS,HYPERTENSN,DERMATITIS,DEHYDRATN,EXPOSURE,OBESITY,OTITIS,PERINATAL,NUTRDEFIC,ALCOHOL,SUBSTANCE,TOBACCO,DEPRESSN,ANXIETY,ATTNDEF,MENTLDSORD,FLUVAC,CONTRACPT,EYEEXAM,EMERGSRVCS,ORALEXAMS,ORALSURG,REHAB,FOODINSCUR,HOUSINSCUR,FINCLSTRAN,LACKTRANSP,MOUDOPIOID,LATITUDE,LONGITUDE
"{
  ""coordinates"": [
    -9.412053106999996e+01,
    3.009535113000003e+01
  ],
  ""type"": ""Point""
}",16274,Federally Qualified Health Center (FQHC),H80CS28977,06E01197,BPS-H80-033971,Triangle Area Network Mobile Healthcare,1495 N 7th St,Beaumont,TX,77702-1345,409-550-1067,www.tanhealthcare.org,32,7,All Other Clinic Types,1,Active, ,0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/08/2021,"TRIANGLE AREA NETWORK, INC",1495 N 7th St,Beaumont,TX,77702-1345,"Corporate Entity, Federal Tax Exempt",-94.12053107,30.09535113,N,N,48245,Jefferson County,Jefferson,County,06,Region 6,48,Texas,4836,36,Texas District 36,TX-36,Brian Babin,John Cornyn,Ted Cruz,08/21/2024,06E01197,H80CS28977,3742,1536,2206,16,333,0,0,0,0,0,0,52,0,55,56,0,0,0,0,0,0,0,0,1181,1195,44,0,53,279,2077,2356,0,39,46,24,0,0,33,371,3367,0,142,1473,498,323,314,1134,1146,830,399,0,1367,141,124,0,119,300,0,38,17,157,31,114,187,0,39,0,731,237,1395,80,0,0,1201,89,0,29,67,102,683,741,745,191,255,255,117,0,0,0,0,0,41,68,128,59,66,30.09535113,-94.12053107
"{
  ""coordinates"": [
    -9.246172509999997e+01,
    3.141017669000007e+01
  ],
  ""type"": ""Point""
}",14222,Federally Qualified Health Center (FQHC),H80CS12857,06E00021,BPS-H80-037845,Mary Goff Elementary School-Based Clinic,6900 Shreveport Hwy,Pineville,LA,71360-2718,318-648-0375,www.winnchc.org,40,2,School,1,Active, ,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/28/2023,WINN COMMUNITY HEALTH CENTER INC,431 W Lafayette St,Winnfield,LA,71483-3463,"Corporate Entity, Federal Tax Exempt",-92.4617251,31.41017669,N,N,22079,Rapides Parish,Rapides,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,06E00021,H80CS12857,34454,14380,20074,2247,2985,0,0,0,0,0,0,180,0,181,183,30,0,0,0,24,17,41,81,13030,13111,54,112,166,673,18504,19177,0,0,0,578,886,312,1776,1412,32730,312,257,15538,1487,773,843,15813,1734,20554,3847,0,8312,1125,1496,12881,84,24,16,255,0,64,1038,981,1280,26,277,25,2462,951,5217,796,105,22,14765,1179,42,236,192,682,1287,3332,4121,2158,2717,3060,799,0,1568,4971,2327,278,239,211,7320,477,187,31.41017669,-92.4617251
"{
  ""coordinates"": [
    -9.244760905999998e+01,
    3.129542956000006e+01
  ],
  ""type"": ""Point""
}",14210,Federally Qualified Health Center (FQHC),H80CS12857,06E00021,BPS-H80-037618,Alma Redwine Elementary School-Based Clinic,1321 Vance Ave,Alexandria,LA,71301-6154,318-648-0375, ,40,2,School,1,Active, ,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/20/2023,WINN COMMUNITY HEALTH CENTER INC,431 W Lafayette St,Winnfield,LA,71483-3463,"Corporate Entity, Federal Tax Exempt",-92.44760906,31.29542956,N,N,22079,Rapides Parish,Rapides,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,06E00021,H80CS12857,34454,14380,20074,2247,2985,0,0,0,0,0,0,180,0,181,183,30,0,0,0,24,17,41,81,13030,13111,54,112,166,673,18504,19177,0,0,0,578,886,312,1776,1412,32730,312,257,15538,1487,773,843,15813,1734,20554,3847,0,8312,1125,1496,12881,84,24,16,255,0,64,1038,981,1280,26,277,25,2462,951,5217,796,105,22,14765,1179,42,236,192,682,1287,3332,4121,2158,2717,3060,799,0,1568,4971,2327,278,239,211,7320,477,187,31.29542956,-92.44760906
"{
  ""coordinates"": [
    -9.259385012999995e+01,
    3.456364133000005e+01
  ],
  ""type"": ""Point""
}",7240,Federally Qualified Health Center (FQHC),H80CS00207,060940,BPS-H80-027250,ARcare-121,630 W South St,Benton,AR,72015-4258,870-347-2534,www.arcare.net,40,7,All Other Clinic Types,1,Active, ,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/28/2018,ARCARE,117 S 2nd St,Augusta,AR,72006-2309,"Corporate Entity, Federal Tax Exempt",-92.59385013,34.56364133,N,N,05125,Saline County,Saline,County,06,Region 6,05,Arkansas,0502,2,Arkansas District 02,AR-02,J. French Hill,John Boozman,Tom Cotton,08/21/2024,060940,H80CS00207,106184,45583,60601,7031,12205,0,0,0,0,0,0,785,43,742,785,0,872,0,0,558,314,872,129,19550,19679,73,214,287,4379,76561,80940,122,1041,1163,997,561,900,2458,6301,98983,900,1687,1983,575,298,228,103100,11146,46192,16430,0,32416,428,7617,4775,444,612,0,1245,25,925,3572,3329,4122,2434,931,77,10451,4041,24879,2261,292,60,12308,4608,247,800,884,2552,4218,13292,14730,2188,5820,6184,1262,0,0,0,0,0,0,0,0,0,1883,34.56364133,-92.59385013
"{
  ""coordinates"": [
    -9.055203795999994e+01,
    3.006637506000005e+01
  ],
  ""type"": ""Point""
}",7761,Federally Qualified Health Center (FQHC),H80CS00767,060180,BPS-H80-007895,Teche Action Clinic @ Reserve,471 Central Ave,Reserve,LA,70084-5509,337-828-2550,www.tabhealth.org,40,7,All Other Clinic Types,1,Active,191874,1386880433,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,08/25/2008,TECHE ACTION BOARD,1115 Weber St,Franklin,LA,70538-4124,"Corporate Entity, Federal Tax Exempt",-90.55203796,30.06637506,N,N,22095,St. John the Baptist Parish,St. John the Baptist,Parish,06,Region 6,22,Louisiana,2202,2,Louisiana District 02,LA-02,Troy A. Carter,Bill Cassidy,John Kennedy,08/21/2024,060180,H80CS00767,18840,7573,11267,973,2863,0,0,0,0,0,0,139,0,127,141,0,0,0,0,0,0,0,67,8768,8835,1194,453,1647,122,7095,7217,20,177,197,336,359,108,803,1753,16979,108,1298,13268,2717,597,682,1576,1992,10850,3343,0,2653,35,21,1539,188,0,0,112,0,73,356,885,737,24,191,38,2915,687,5345,362,26,0,3204,293,50,103,184,349,1394,2741,2831,851,1058,1744,324,0,806,2614,732,411,36,31,19,8,0,30.06637506,-90.55203796
"{
  ""coordinates"": [
    -9.020635435999998e+01,
    2.998470699000006e+01
  ],
  ""type"": ""Point""
}",16180,Federally Qualified Health Center (FQHC),H80CS24198,06E00523,BPS-H80-035992,DePaul Community Health Centers - St. Therese Academy,6421 W Metairie Ave,Metairie,LA,70003-4327,504-513-4400, ,20,2,School,1,Active, ,0,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,11/28/2022,MARILLAC COMMUNITY HEALTH CENTERS,3201 S Carrollton Ave,New Orleans,LA,70118-4307,"Corporate Entity, Federal Tax Exempt",-90.20635436,29.98470699,N,N,22051,Jefferson Parish,Jefferson,Parish,06,Region 6,22,Louisiana,2201,1,Louisiana District 01,LA-01,Steve Scalise,Bill Cassidy,John Kennedy,08/21/2024,06E00523,H80CS24198,44602,18392,26210,4274,4577,32,0,0,0,0,24,198,18,251,269,21,210,0,0,156,76,232,964,27658,28622,470,45,515,8065,5006,13071,0,22,23,386,392,1092,1870,10060,33450,1092,9011,10643,494,140,579,32746,7176,28411,3896,0,5119,1558,360,1689,104,225,76,530,38,226,506,2832,1105,0,679,297,5270,1152,11726,1982,99,0,23748,929,153,400,420,1069,3731,5505,4012,1259,3665,5659,211,0,1470,3294,1293,1495,360,62,6,76,114,29.98470699,-90.20635436
"{
  ""coordinates"": [
    -9.118950302999995e+01,
    3.083538047000007e+01
  ],
  ""type"": ""Point""
}",13775,Federally Qualified Health Center (FQHC),H80CS06459,0618980,BPS-H80-032092,JACKSON COMPLEX HEALTH CENTER,3619 Highway 10,Jackson,LA,70748-6237,225-683-1360, ,40,2,School,1,Active, ,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/01/2021,"PRIMARY CARE PROVIDERS FOR A HEALTHY FELICIANA, INC.",11990 Jackson St,Clinton,LA,70722-3210,"Corporate Entity, Federal Tax Exempt",-91.18950303,30.83538047,N,N,22037,East Feliciana Parish,East Feliciana,Parish,06,Region 6,22,Louisiana,2205,5,Louisiana District 05,LA-05,Julia Letlow,Bill Cassidy,John Kennedy,08/21/2024,0618980,H80CS06459,22347,9442,12905,688,1858,0,0,0,0,0,0,432,175,272,447,0,0,0,0,0,0,17,60,7734,7794,0,60,70,305,13065,13370,33,156,189,153,131,176,460,745,21426,176,240,7336,2051,1169,2216,9575,1831,13708,1961,0,4839,89,742,4764,199,21,0,139,0,167,563,649,521,0,230,86,1769,703,4694,376,38,0,10409,355,0,216,333,632,1934,5645,6058,3712,3534,1735,818,0,1251,2065,573,75,0,0,0,0,141,30.83538047,-91.18950303
"{
  ""coordinates"": [
    -9.114724461999998e+01,
    3.051459670000003e+01
  ],
  ""type"": ""Point""
}",13761,Federally Qualified Health Center (FQHC),H80CS02585,0618420,BPS-H80-034497,"Baton Rouge Primary Care Collaborative, Inc. - Primary",7050 Plank Rd,Baton Rouge,LA,70811-6043,225-774-1120, ,40,7,All Other Clinic Types,1,Active, ,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/20/2022,BATON ROUGE PRIMARY CARE COLLABORATIVE INC,7050 Plank Rd,Baton Rouge,LA,70811-6043,"Corporate Entity, Federal Tax Exempt",-91.14724462,30.5145967,N,N,22033,East Baton Rouge Parish,East Baton Rouge,Parish,06,Region 6,22,Louisiana,2202,2,Louisiana District 02,LA-02,Troy A. Carter,Bill Cassidy,John Kennedy,08/21/2024,0618420,H80CS02585,2227,916,1311,16,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2093,2100,0,0,0,0,87,99,0,0,0,0,0,0,0,33,2191,0,0,1776,230,88,114,19,215,1100,24,0,888,0,350,0,0,0,0,114,0,0,16,91,27,0,32,16,421,41,1018,42,0,0,1582,46,0,0,0,0,601,202,148,38,129,155,137,0,0,0,0,0,351,351,351,351,0,30.5145967,-91.14724462
"{
  ""coordinates"": [
    -9.045706613999992e+01,
    3.157818415000002e+01
  ],
  ""type"": ""Point""
}",3931,Federally Qualified Health Center (FQHC),H80CS00487,042440,BPS-H80-022068,"Family Health Care Clinic, Brookhaven",215 Highway 51 S,Brookhaven,MS,39601-3245,601-825-7280,www.familyhealthcareclinic.com,44,7,All Other Clinic Types,1,Active,251982,0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/04/2018,"Family Health Care Clinic, Inc.",4635 Highway 80 E,Pearl,MS,39208-4226,"Corporate Entity, Federal Tax Exempt",-90.45706614,31.57818415,N,N,28085,Lincoln County,Lincoln,County,04,Region 4,28,Mississippi,2803,3,Mississippi District 03,MS-03,Michael Guest,Roger F. Wicker,Cindy Hyde-Smith,08/21/2024,042440,H80CS00487,40994,15625,25369,3147,3840,0,0,0,0,0,0,469,260,216,476,19,0,0,0,0,24,30,263,19910,20173,151,36,187,665,14417,15082,61,341,402,3681,709,254,4644,5087,35653,254,3499,24542,5829,2559,3043,5021,14582,11884,4639,0,9879,0,110,490,0,65,0,671,33,227,816,994,897,0,348,222,4239,970,12747,572,103,16,27601,298,67,81,292,349,3731,2219,2189,278,1444,2289,1207,0,1844,1025,657,228,1332,1832,18110,2517,0,31.57818415,-90.45706614
"{
  ""coordinates"": [
    -9.077581935999996e+01,
    3.477126681000004e+01
  ],
  ""type"": ""Point""
}",7724,Federally Qualified Health Center (FQHC),H80CS00122,060060,BPS-H80-035108,Mobile Van #1,530 Atkins Blvd,Marianna,AR,72360-2198,870-295-5225,www.lccc.us.com,14,7,All Other Clinic Types,1,Active, ,0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/10/2022,LEE COUNTY COOPERATIVE CLINIC,530 Atkins Blvd,Marianna,AR,72360-2198,"Corporate Entity, Federal Tax Exempt",-90.77581936,34.77126681,N,N,05077,Lee County,Lee,County,06,Region 6,05,Arkansas,0501,1,Arkansas District 01,AR-01,Eric A. “Rick” Crawford,John Boozman,Tom Cotton,08/21/2024,060060,H80CS00122,1973,872,1101,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,1641,0,0,0,0,272,277,0,0,0,16,0,0,29,38,1931,0,16,1184,285,123,143,238,232,431,316,0,987,28,0,0,34,0,0,35,0,0,60,143,142,0,34,0,478,182,1216,135,0,0,1134,0,0,0,17,40,221,182,198,17,147,141,35,0,0,461,202,0,10,16,30,14,0,34.77126681,-90.77581936
