GEO,LON,LAT,OBJECTID,SID,BASIN,SUBBASIN,NAME,NATURE,YEAR,MONTH,DAY,HURRICANE_DATE,USA_WIND,USA_PRES
"{
  ""coordinates"": [
    [
      -8.990002441427539e+01,
      2.889999961872553e+01
    ],
    [
      -9.019995117159414e+01,
      2.910000038168621e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.04984271,29.000083217,684162,2021239N17281,NA,GM,Ida,TS,2021,8,29,2021-08-29 23:00:00.000,130,930
"{
  ""coordinates"": [
    [
      -9.019995117159414e+01,
      2.910000038168621e+01
    ],
    [
      -9.040002441430561e+01,
      2.920000076324972e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.299939103,29.150037723,684163,2021239N17281,NA,GM,Ida,TS,2021,8,29,2021-08-29 23:00:00.000,130,931
"{
  ""coordinates"": [
    [
      -9.040002441430561e+01,
      2.920000076324972e+01
    ],
    [
      -9.059997558585144e+01,
      2.949999999975558e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.49985282,29.350037646,684164,2021239N17281,NA,GM,Ida,TS,2021,8,29,2021-08-29 23:00:00.000,125,932
"{
  ""coordinates"": [
    [
      -9.059997558585144e+01,
      2.949999999975558e+01
    ],
    [
      -9.059997558585144e+01,
      2.989999961880650e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.599975586,29.699999809,684165,2021239N17281,NA,NA,Ida,TS,2021,8,29,2021-08-29 23:00:00.000,115,938
"{
  ""coordinates"": [
    [
      -9.059997558585144e+01,
      2.989999961880650e+01
    ],
    [
      -9.069995117162435e+01,
      3.020000076308540e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.649887669,30.050009643,684166,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,105,944
"{
  ""coordinates"": [
    [
      -9.069995117162435e+01,
      3.020000076308540e+01
    ],
    [
      -9.080004882856291e+01,
      3.060000038149110e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.749897502,30.400010113,684167,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,85,961
"{
  ""coordinates"": [
    [
      -9.080004882856291e+01,
      3.060000038149110e+01
    ],
    [
      -9.090002441433582e+01,
      3.100000000011991e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.849932604,30.800009782,684168,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,65,978
"{
  ""coordinates"": [
    [
      -9.090002441433582e+01,
      3.100000000011991e+01
    ],
    [
      -9.090002441433582e+01,
      3.149999999971121e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.900024414,31.25,684169,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,53,985
"{
  ""coordinates"": [
    [
      -9.090002441433582e+01,
      3.149999999971121e+01
    ],
    [
      -9.069995117162435e+01,
      3.189999961886337e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.80020346,31.700038853,684170,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,40,992
"{
  ""coordinates"": [
    [
      -9.069995117162435e+01,
      3.189999961886337e+01
    ],
    [
      -9.050000000007853e+01,
      3.220000076316776e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.600139455,32.050039422,684171,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,38,994
"{
  ""coordinates"": [
    [
      -9.050000000007853e+01,
      3.220000076316776e+01
    ],
    [
      -9.030004882853270e+01,
      3.259999847381529e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.400245884,32.40003908,684172,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,35,996
"{
  ""coordinates"": [
    [
      -9.030004882853270e+01,
      3.259999847381529e+01
    ],
    [
      -9.000000000004830e+01,
      3.300000000004600e+01
    ]
  ],
  ""type"": ""LineString""
}",-90.150361909,32.800088672,684173,2021239N17281,NA,NA,Ida,TS,2021,8,30,2021-08-30 23:00:00.000,33,996
"{
  ""coordinates"": [
    [
      -9.000000000004830e+01,
      3.300000000004600e+01
    ],
    [
      -8.969995117156392e+01,
      3.340000152616621e+01
    ]
  ],
  ""type"": ""LineString""
}",-89.850318279,33.200090756,684174,2021239N17281,NA,NA,Ida,TS,2021,8,31,2021-08-31 23:00:00.000,30,996
"{
  ""coordinates"": [
    [
      -8.969995117156392e+01,
      3.340000152616621e+01
    ],
    [
      -8.940002441424519e+01,
      3.379999923741343e+01
    ]
  ],
  ""type"": ""LineString""
}",-89.550335586,33.600090841,684175,2021239N17281,NA,NA,Ida,TS,2021,8,31,2021-08-31 23:00:00.000,28,996
"{
  ""coordinates"": [
    [
      -8.940002441424519e+01,
      3.379999923741343e+01
    ],
    [
      -8.899999999998789e+01,
      3.409999847377807e+01
    ]
  ],
  ""type"": ""LineString""
}",-89.200364737,33.950160585,684176,2021239N17281,NA,NA,Ida,TS,2021,8,31,2021-08-31 23:00:00.000,25,996
"{
  ""coordinates"": [
    [
      -8.899999999998789e+01,
      3.409999847377807e+01
    ],
    [
      -8.840002441418476e+01,
      3.440000152585471e+01
    ]
  ],
  ""type"": ""LineString""
}",-88.700546955,34.250365346,684177,2021239N17281,NA,NA,Ida,TS,2021,8,31,2021-08-31 23:00:00.000,25,996
"{
  ""coordinates"": [
    [
      -8.840002441418476e+01,
      3.440000152585471e+01
    ],
    [
      -8.780004882838163e+01,
      3.470000076314652e+01
    ]
  ],
  ""type"": ""LineString""
}",-88.100577403,34.550367977,684178,2021239N17281,NA,NA,Ida,TS,2021,8,31,2021-08-31 23:00:00.000,25,996
