GEO,SHELTER_ID,SHELTER_NAME,ADDRESS_1,CITY,COUNTY_PARISH,FIPS_CODE,STATE,ZIP,MAIL_ADDR_SAME_AS_PHYS_ADDR,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_COUNTY_PARISH,MAILING_STATE,MAILING_ZIP,FACILITY_USAGE_CODE,EVACUATION_CAPACITY,POST_IMPACT_CAPACITY,ADA_COMPLIANT,WHEELCHAIR_ACCESSIBLE,PET_ACCOMMODATIONS_CODE,PET_ACCOMMODATIONS_DESC,GENERATOR_ONSITE,SELF_SUFFICIENT_ELECTRICITY,LATITUDE,LONGITUDE,IN_100_YR_FLOODPLAIN,IN_500_YR_FLOODPLAIN,IN_SURGE_SLOSH_AREA,PRE_LANDFALL_SHELTER,SHELTER_CODE,ORG_ORGANIZATION_ID,ORG_ORGANIZATION_NAME,ORG_MAIN_PHONE,ORG_FAX,ORG_EMAIL,ORG_HOTLINE_PHONE,ORG_OTHER_PHONE,ORG_ADDRESS,ORG_CITY,ORG_STATE,ORG_ZIP,ORG_POC_NAME,ORG_POC_PHONE,ORG_POC_AFTER_HOURS_PHONE,ORG_POC_EMAIL,ORG_HOURS_OF_OPERATION,POPULATION_CODE,INCIDENT_ID,SHELTER_STATUS_CODE,SHELTER_OPEN_DATE,SHELTER_CLOSED_DATE,REPORTING_PERIOD,GENERAL_POPULATION,MEDICAL_NEEDS_POPULATION,OTHER_POPULATION,OTHER_POPULATION_DESCRIPTION,TOTAL_POPULATION,PET_POPULATION,INCIDENT_NUMBER,INCIDENT_NAME,INCIDENT_CODE,OBJECTID,SCORE,STATUS,MATCH_TYPE,LOC_NAME,GEOX,GEOY,FACILITY_TYPE,SUBFACILITY_CODE,DATA_SOURCE_ID
"{
  ""coordinates"": [
    -9.234291403699996e+01,
    3.469917391300004e+01
  ],
  ""type"": ""Point""
}",239285,Geyer Springs United Methodist Church,5500 GEYER SPRINGS ROAD,LITTLE ROCK,PULASKI, ,AR,72209,YES, , , , , , ,POST,181,90, , , , , , ,34.69917391,-92.34291404, , , , ,GENERAL,121172,ARC OF GREATER ARKANSAS, , , , , ,401 SOUTH MONROE,LITTLE ROCK,AR,72205, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651887,100,M,A,Street,-92.34291404,34.69917391,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.259240395499995e+01,
    3.456042651000007e+01
  ],
  ""type"": ""Point""
}",239286,RINGGOLD ELEMENTARY SCHOOL,536 RIVER STREET,BENTON,SALINE, ,AR,72015,NO, , , , , , ,EVAC,125,0, , , , , , ,34.56042651,-92.59240396, , , , ,GENERAL,121172,ARC OF GREATER ARKANSAS, , , , , ,401 SOUTH MONROE,LITTLE ROCK,AR,72205, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651888,100,M,A,Street,-92.59240396,34.56042651,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.676495908299995e+01,
    3.340961806800004e+01
  ],
  ""type"": ""Point""
}",73530,Lakeside Baptist Church,2865 OLD ROCKY RIDGE RD,BIRMINGHAM,JEFFERSON, ,AL,35243,YES,2865 OLD ROCKY RIDGE RD, ,BIRMINGHAM, ,AL,35245,EVAC,329,150, , , , , , ,33.40961807,-86.76495908, , , , ,GENERAL,121209,BIRMINGHAM AREA CHAPTER, , , , , ,950 22ND ST NORTH,BIRMINGHAM,AL,35203, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651911,81,M,A,Street,-86.76495908,33.40961807,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.241450007099996e+01,
    3.470658432600004e+01
  ],
  ""type"": ""Point""
}",239288,Mount Pleasant United Methodist Church,5025 CHURCH ROAD,LITTLE ROCK,PULASKI, ,AR,72210,YES, , , , , , ,EVAC,37,19, , , , , , ,34.70658433,-92.41450007, , , , ,GENERAL,121172,ARC OF GREATER ARKANSAS, , , , , ,401 SOUTH MONROE,LITTLE ROCK,AR,72205, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651922,100,M,A,Street,-92.41450007,34.70658433,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.250411751099995e+01,
    3.456655089300006e+01
  ],
  ""type"": ""Point""
}",239290,BAUXITE ELEMENTARY / CAFETORIUM,500 PINE HAVEN ROAD,BAUXITE,SALINE, ,AR,72011,NO, , , , , , ,EVAC,250,0, , , , , , ,34.56655089,-92.50411751, , , , ,GENERAL,121172,ARC OF GREATER ARKANSAS, , , , , ,401 SOUTH MONROE,LITTLE ROCK,AR,72205, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651923,100,M,A,Street,-92.50411751,34.56655089,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.232687912599994e+01,
    3.475648770600003e+01
  ],
  ""type"": ""Point""
}",239291,Pulaski Heights United Methodist Church,4823 WOODLAWN,LITTLE ROCK,PULASKI, ,AR,72205,NO, , , , , , ,POST,310,155, , , , , , ,34.75648771,-92.32687913, , , , ,GENERAL,121172,ARC OF GREATER ARKANSAS, , , , , ,401 SOUTH MONROE,LITTLE ROCK,AR,72205, , , , ,8,GENERAL,,CLOSED,,,,,,,,,,,,,651924,86,T,A,Street,-92.32687913,34.75648771,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.402152558499995e+01,
    3.341447440700006e+01
  ],
  ""type"": ""Point""
}",238915,SPIRIT AND TRUTH BAPTIST CHURCH,2101 HAYS,TEXARKANA,MILLER, ,AR,71854,NO, , , , , , ,EVAC,0,0, , , , , , ,33.41447441,-94.02152559, , , , ,GENERAL,121876,TEXARKANA AREA CHAPTER, , , , , ,821 SPRUCE STREET,TEXARKANA,TX,75501, , , , ,5-Aug,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651925,86,M,A,Street,-94.02152559,33.41447441,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.404265065899995e+01,
    3.348945987900004e+01
  ],
  ""type"": ""Point""
}",238917,Sugar Hill United Methodist,1621 Sugar Hill Rd.,TEXARKANA,MILLER, ,AR,71854,YES, , , , , , ,EVAC,55,0, , , , , , ,33.48945988,-94.04265066,NO, ,NO, ,GENERAL,121876,TEXARKANA AREA CHAPTER, , , , , ,821 SPRUCE STREET,TEXARKANA,TX,75501, , , , ,5-Aug,GENERAL,0,CLOSED,2020-09-12 08:00:00.000,, ,0,0,0, ,0,0, , , ,651926,100,M,A,Street,-94.04265066,33.48945988,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.990803561599995e+01,
    3.514370879200004e+01
  ],
  ""type"": ""Point""
}",299045,First Church Of Chris Scientist,458 N. PERKINS,MEMPHIS,SHELBY, ,TN,38117,YES, , , , , , ,EVAC,30,0, , , , , , ,35.14370879,-89.90803562, , , , ,GENERAL,121612,MID-SOUTH CHAPTER, , , , , ,1400 CENTRAL AVE,MEMPHIS,TN,38104, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,651929,86,M,A,Street,-89.90803562,35.14370879,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.983969613499994e+01,
    3.504943286300005e+01
  ],
  ""type"": ""Point""
}",299590,World Overcomers,6655 Winchester Rd.,MEMPHIS,SHELBY, ,TN,38115,YES, , , , , , ,BOTH,500,250, , , , , , ,35.04943286,-89.83969614, , , , ,GENERAL,121612,MID-SOUTH CHAPTER, , , , , ,1400 CENTRAL AVE,MEMPHIS,TN,38104, , , , ,8,GENERAL,475,CLOSED,2020-05-09 11:00:00.000,2011-05-14 00:00:00.000,MIDDAY,0,,,,0,,S TN 04/11 Flood/Tornado ,S TN 04/11 Flood/Tornado ,FLT,652133,100,M,A,Street,-89.83969614,35.04943286,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -8.992074303699997e+01,
    3.516212690700007e+01
  ],
  ""type"": ""Point""
}",299083,Gaisman,4223 Macon Rd,MEMPHIS,SHELBY, ,TN,38122,YES, , , , , , ,BOTH,300,150, , , , , , ,35.16212691,-89.92074304, , , , ,GENERAL,121612,MID-SOUTH CHAPTER, , , , , ,1400 CENTRAL AVE,MEMPHIS,TN,38104, , , , ,8,GENERAL,0,CLOSED,2020-09-01 08:00:00.000,, ,0,0,0, ,0,0, , , ,652201,100,M,A,Street,-89.92074304,35.16212691,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.004975078099994e+01,
    3.512129768700004e+01
  ],
  ""type"": ""Point""
}",299252,Mason Temple,938 Mason Street,MEMPHIS,SHELBY, ,TN,38126,YES, , , , , , ,EVAC,10,0, , , , , , ,35.12129769,-90.04975078, , , , ,GENERAL,121612,MID-SOUTH CHAPTER, , , , , ,1400 CENTRAL AVE,MEMPHIS,TN,38104, , , , ,8,GENERAL,0,CLOSED,,, ,0,0,0, ,0,0, , , ,652332,100,M,A,Street,-90.04975078,35.12129769,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.405693189299996e+01,
    3.342323380400006e+01
  ],
  ""type"": ""Point""
}",324172,Hardy Memorial Methodist Church,1401 W. SEVENTH,TEXARKANA,BOWIE, ,TX,75501,YES, , , , , , ,EVAC,35,0, , , , , , ,33.4232338,-94.05693189,NO, ,NO, ,GENERAL,121876,TEXARKANA AREA CHAPTER, , , , , ,821 SPRUCE STREET,TEXARKANA,TX,75501, , , , ,5-Aug,GENERAL,0,CLOSED,2020-09-12 08:00:00.000,, ,0,0,0, ,0,0, , , ,652367,86,M,A,Street,-94.05693189,33.4232338,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.223949200499999e+01,
    3.508188040300007e+01
  ],
  ""type"": ""Point""
}",239176,Beryl Baptist Church Vilonia,873 HIGHWAY 64 EAST,VILONIA,FAULKNER, ,AR,72173,NO, , , , , , ,EVAC,0,0, , , , , , ,35.0818804,-92.23949201, , , , ,GENERAL,121380,FAULKNER COUNTY CHAPTER, , , , , ,1301 MUSEUM RD,CONWAY,AR,72032, , , , ,8,GENERAL,0,CLOSED,2014-04-28 00:00:00.000,2014-05-04 00:00:00.000, ,0,0,0, ,0,0, , , ,652515,76,M,A,Street,-92.23949201,35.0818804,SHELTER,GENPOPSHEL,0
"{
  ""coordinates"": [
    -9.068469911399995e+01,
    3.005011968900004e+01
  ],
  ""type"": ""Point""
}",115833,SACRED HEART CATECATHICAL CHURCH,616 MAIN ST,GRAMERCY,SAINT JAMES, ,LA,70052,NO, , , , , , ,POST,93,100, , , , , , ,30.05011969,-90.68469911, , , , ,GENERAL,121557,LOUISIANA CAPITAL AREA CHAPTER, , , , , ,10201 Celtic Dr,BATON ROUGE,LA,70809, , , , ,8.00 am-5.00 pm M-F,GENERAL,,CLOSED,,,,,,,,,,,,,652551,87,M,A,Street,-90.68469911,30.05011969,SHELTER,GENPOPSHEL,0
