COUNTYID,STATEID,US_STATE_FIPS,US_COUNTY_FIPS,US_FULL_FIPS,COUNTYNAME,TRACKEDCOUNT,OUTAGECOUNT,LASTUPDATEDDATETIME,UPDATECLEAN,PERCENTOUTAGE,FIPS,STATEABBRV,STATENAME
1557,25,22,105.0,22105,Tangipahoa,68210,340,/Date(1632585346557)/,2021-09-25 15:55:46.000,0.49846063627034160000,22,LA,Louisiana
1609,25,22,11.0,22011,Beauregard,19558,5,/Date(1632585345777)/,2021-09-25 15:55:45.000,0.02556498619490745600,22,LA,Louisiana
1610,25,22,13.0,22013,Bienville,11953,0,/Date(1632585346807)/,2021-09-25 15:55:46.000,0.00000000000000000000,22,LA,Louisiana
1611,25,22,15.0,22015,Bossier,61350,0,/Date(1632585030980)/,2021-09-25 15:50:30.000,0.00000000000000000000,22,LA,Louisiana
1612,25,22,17.0,22017,Caddo,120557,11,/Date(1632585030980)/,2021-09-25 15:50:30.000,0.00912431463954809800,22,LA,Louisiana
1613,25,22,31.0,22031,De Soto,14919,0,/Date(1632585343167)/,2021-09-25 15:55:43.000,0.00000000000000000000,22,LA,Louisiana
1616,25,22,43.0,22043,Grant,9355,0,/Date(1632585343167)/,2021-09-25 15:55:43.000,0.00000000000000000000,22,LA,Louisiana
1621,25,22,69.0,22069,Natchitoches,13344,4,/Date(1632585343167)/,2021-09-25 15:55:43.000,0.02997601918465228000,22,LA,Louisiana
1622,25,22,79.0,22079,Rapides,44007,1,/Date(1632585345777)/,2021-09-25 15:55:45.000,0.00227236575999272860,22,LA,Louisiana
1623,25,22,81.0,22081,Red River,5076,0,/Date(1632585343167)/,2021-09-25 15:55:43.000,0.00000000000000000000,22,LA,Louisiana
1624,25,22,85.0,22085,Sabine,17787,0,/Date(1632585343167)/,2021-09-25 15:55:43.000,0.00000000000000000000,22,LA,Louisiana
1625,25,22,103.0,22103,St. Tammany,131945,16,/Date(1632585346557)/,2021-09-25 15:55:46.000,0.01212626473151692000,22,LA,Louisiana
1627,25,22,115.0,22115,Vernon,24139,7,/Date(1632585345777)/,2021-09-25 15:55:45.000,0.02899871577115870400,22,LA,Louisiana
1629,25,22,119.0,22119,Webster,16383,0,/Date(1632585030980)/,2021-09-25 15:50:30.000,0.00000000000000000000,22,LA,Louisiana
1630,25,22,127.0,22127,Winn,5244,0,/Date(1632585030980)/,2021-09-25 15:50:30.000,0.00000000000000000000,22,LA,Louisiana
1643,25,22,19.0,22019,Calcasieu,98901,1,/Date(1632585345777)/,2021-09-25 15:55:45.000,0.00101111212222323330,22,LA,Louisiana
1651,25,22,3.0,22003,Allen,11566,17,/Date(1632585345777)/,2021-09-25 15:55:45.000,0.14698253501642747000,22,LA,Louisiana
1652,25,22,117.0,22117,Washington,24686,1,/Date(1632585346557)/,2021-09-25 15:55:46.000,0.00405087904075184300,22,LA,Louisiana
1681,25,22,39.0,22039,Evangeline,18338,0,/Date(1632585346150)/,2021-09-25 15:55:46.000,0.00000000000000000000,22,LA,Louisiana
1995,25,22,5.0,22005,Ascension,43216,6,/Date(1632585079330)/,2021-09-25 15:51:19.000,0.01388374676045908900,22,LA,Louisiana
1996,25,22,9.0,22009,Avoyelles,21894,1,/Date(1632585346150)/,2021-09-25 15:55:46.000,0.00456746140495112800,22,LA,Louisiana
1998,25,22,33.0,22033,East Baton Rouge,180808,16,/Date(1632585079330)/,2021-09-25 15:51:19.000,0.00884916596610769500,22,LA,Louisiana
1999,25,22,37.0,22037,East Feliciana,4325,0,/Date(1632495702837)/,2021-09-24 15:01:42.000,0.00000000000000000000,22,LA,Louisiana
2001,25,22,45.0,22045,Iberia,34912,0,/Date(1632585346150)/,2021-09-25 15:55:46.000,0.00000000000000000000,22,LA,Louisiana
2006,25,22,63.0,22063,Livingston,23106,23,/Date(1632585079330)/,2021-09-25 15:51:19.000,0.09954124469834676000,22,LA,Louisiana
2010,25,22,91.0,22091,St. Helena,1737,6,/Date(1632585079330)/,2021-09-25 15:51:19.000,0.34542314335060450000,22,LA,Louisiana
2012,25,22,125.0,22125,West Feliciana,1843,0,/Date(1632298464797)/,2021-09-22 08:14:24.000,0.00000000000000000000,22,LA,Louisiana
2060,25,22,1.0,22001,Acadia,28567,0,/Date(1632585346150)/,2021-09-25 15:55:46.000,0.00000000000000000000,22,LA,Louisiana
2061,25,22,23.0,22023,Cameron,1784,0,/Date(1632585346150)/,2021-09-25 15:55:46.000,0.00000000000000000000,22,LA,Louisiana
2062,25,22,41.0,22041,Franklin,7206,0,/Date(1632405099010)/,2021-09-23 13:51:39.000,0.00000000000000000000,22,LA,Louisiana
2063,25,22,51.0,22051,Jefferson,211561,3433,/Date(1632585079330)/,2021-09-25 15:51:19.000,1.62269983598111180000,22,LA,Louisiana
2064,25,22,55.0,22055,Lafayette,124134,0,/Date(1632585347230)/,2021-09-25 15:55:47.000,0.00000000000000000000,22,LA,Louisiana
2065,25,22,57.0,22057,Lafourche,43611,3695,/Date(1632585079330)/,2021-09-25 15:51:19.000,8.47263305129439800000,22,LA,Louisiana
2066,25,22,71.0,22071,Orleans,193836,56,/Date(1632585079330)/,2021-09-25 15:51:19.000,0.02889040219567056600,22,LA,Louisiana
2068,25,22,75.0,22075,Plaquemines,12610,13,/Date(1632585079330)/,2021-09-25 15:51:19.000,0.10309278350515463000,22,LA,Louisiana
2069,25,22,87.0,22087,St. Bernard,20650,0,/Date(1632552676197)/,2021-09-25 06:51:16.000,0.00000000000000000000,22,LA,Louisiana
2070,25,22,121.0,22121,West Baton Rouge,12865,0,/Date(1632513099783)/,2021-09-24 19:51:39.000,0.00000000000000000000,22,LA,Louisiana
2075,25,22,61.0,22061,Lincoln,9278,0,/Date(1632585346807)/,2021-09-25 15:55:46.000,0.00000000000000000000,22,LA,Louisiana
2076,25,22,73.0,22073,Ouachita,90013,5,/Date(1632585346807)/,2021-09-25 15:55:46.000,0.00555475320231522100,22,LA,Louisiana
2077,25,22,77.0,22077,Pointe Coupee,5089,0,/Date(1632585343167)/,2021-09-25 15:55:43.000,0.00000000000000000000,22,LA,Louisiana
