GEO,X,Y,FID,CALCLOCATI,CALCLOCA_1,CALCLOCA_2,NAME,ADDRESS,CITY,STATE,ZIP,FORMATED_P,STATUS,ICON,TYPE_,OBJECTID
"{
  ""coordinates"": [
    -9.063350000000000e+01,
    3.451810000000000e+01
  ],
  ""type"": ""Point""
}",-90.6335,34.5181,209,"34.51810100,-90.63349800",-90.633498,34.518101,FMCNA - HELENA,108 D ANNA PL,HELENA,AR,72342,Please call patient admission line,open,small_green,Dialysis Center,109
"{
  ""coordinates"": [
    -8.987360000000000e+01,
    3.074960000000000e+01
  ],
  ""type"": ""Point""
}",-89.8736,30.7496,211,"30.74961800,-89.87356800",-89.873568,30.749618,DAVITA - BOGALUSA KIDNEY CARE,2108 S AVE F,BOGALUSA,LA,70427,Please call patient admission line,open,small_green,Dialysis Center,111
"{
  ""coordinates"": [
    -9.100310000000000e+01,
    3.008720000000000e+01
  ],
  ""type"": ""Point""
}",-91.0031,30.0872,212,"30.08724400,-91.00308600",-91.003086,30.087244,FMCNA - DONALDSONVILLE DIALYSIS,101 PLIMSOL DR,DONALDSONVILLE,LA,70346,Please call patient admission line,open,small_green,Dialysis Center,112
"{
  ""coordinates"": [
    -9.319560000000000e+01,
    3.020370000000000e+01
  ],
  ""type"": ""Point""
}",-93.1956,30.2037,214,"30.20370900,-93.19557200",-93.195572,30.203709,FKC - EAST LAKE CHARLES,1801 Oak Park Blvd,LAKE CHARLES,LA,70615,Please call patient admission line,open,small_green,Dialysis Center,114
"{
  ""coordinates"": [
    -9.072629999999999e+01,
    2.999670000000000e+01
  ],
  ""type"": ""Point""
}",-90.7263,29.9967,215,"29.99666800,-90.72628600",-90.726286,29.996668,VACHERIE DX,2504 HIWAY 20 STE B,VACHERIE,LA,70090,Please call patient admission line,open,small_green,Dialysis Center,115
"{
  ""coordinates"": [
    -9.206840000000000e+01,
    3.041130000000000e+01
  ],
  ""type"": ""Point""
}",-92.0684,30.4113,216,"30.41131000,-92.06845000",-92.06845,30.41131,FMCNA - SUNSET,115 ACORN ST,SUNSET,LA,70584,Please call patient admission line,open,small_green,Dialysis Center,116
"{
  ""coordinates"": [
    -9.028149999999999e+01,
    2.998180000000000e+01
  ],
  ""type"": ""Point""
}",-90.2815,29.9818,217,"29.98183800,-90.28149500",-90.281495,29.981838,FMCNA - OCHSNER-ST CHARLES,150 JAMES DR EAST  STE 110,SAINT ROSE,LA,70087,Please call patient admission line,open,small_green,Dialysis Center,117
"{
  ""coordinates"": [
    -9.081870000000001e+01,
    2.981200000000000e+01
  ],
  ""type"": ""Point""
}",-90.8187,29.812,218,"29.81199600,-90.81872800",-90.818728,29.811996,FKC - NORTH THIBODAUX,108 WESTOVER DRIVE,THIBODAUX,LA,70301,Please call patient admission line,open,small_green,Dialysis Center,118
"{
  ""coordinates"": [
    -8.728210000000000e+01,
    3.385110000000000e+01
  ],
  ""type"": ""Point""
}",-87.2821,33.8511,282,"33.85110500,-87.28205500",-87.282055,33.851105,DaVita Walker County Dialysis,260 6th Avenue Northwest,JASPER,AL,35504,Please call patient admission line,open,small_green,Dialysis Center,182
"{
  ""coordinates"": [
    -8.929089999999999e+01,
    3.196510000000000e+01
  ],
  ""type"": ""Point""
}",-89.2909,31.9651,283,"31.96505900,-89.29086400",-89.290864,31.965059,BAY SPRINGS DIALYSIS,14 BAY AVENUE,BAY SPRINGS,MS,39422,Please call patient admission line,open,small_green,Dialysis Center,183
"{
  ""coordinates"": [
    -9.207110000000000e+01,
    3.054320000000000e+01
  ],
  ""type"": ""Point""
}",-92.0711,30.5432,285,"30.54324700,-92.07109800",-92.071098,30.543247,DCI - OPELOUSAS,927 E PRUDHOMME ST,OPELOUSAS,LA,70570,Please call patient admission line,open,small_green,Dialysis Center,185
"{
  ""coordinates"": [
    -8.784220000000001e+01,
    3.249870000000000e+01
  ],
  ""type"": ""Point""
}",-87.8422,32.4987,292,"32.49865800,-87.84219000",-87.84219,32.498658,DaVita White Bluff Dialysis,"505 Highway 80 W, Suite F",DEMOPOLIS,AL,36732,Please call patient admission line,open,small_green,Dialysis Center,192
"{
  ""coordinates"": [
    -8.706880000000000e+01,
    3.112710000000000e+01
  ],
  ""type"": ""Point""
}",-87.0688,31.1271,404,"31.12714900,-87.06878500",-87.068785,31.127149,DaVita Brewton Dialysis,1023 DOUGLAS AVENUE,BREWTON,AL,36426,Please call patient admission line,open,small_green,Dialysis Center,204
"{
  ""coordinates"": [
    -9.000749999999999e+01,
    3.261200000000000e+01
  ],
  ""type"": ""Point""
}",-90.0075,32.612,406,"32.61195400,-90.00750300",-90.007503,32.611954,FMC CANTON,1976 MS-43 N.,CANTON,MS,39046,Please call patient admission line,open,small_green,Dialysis Center,206
"{
  ""coordinates"": [
    -9.005040000000000e+01,
    3.311280000000000e+01
  ],
  ""type"": ""Point""
}",-90.0504,33.1128,407,"33.11277200,-90.05039200",-90.050392,33.112772,DaVita Renal Care of Lexington,22579 DEPOT STREET,LEXINGTON,MS,39095,Please call patient admission line,open,small_green,Dialysis Center,207
"{
  ""coordinates"": [
    -9.087300000000000e+01,
    3.290380000000000e+01
  ],
  ""type"": ""Point""
}",-90.873,32.9038,408,"32.90379400,-90.87299800",-90.872998,32.903794,Fresenius Kidney Care Rolling Fork Dialysis,20019 HWY 61 SOUTH,ROLLING FORK,MS,39159,Please call patient admission line,open,small_green,Dialysis Center,208
"{
  ""coordinates"": [
    -8.955610000000000e+01,
    3.162980000000000e+01
  ],
  ""type"": ""Point""
}",-89.5561,31.6298,409,"31.62976800,-89.55607700",-89.556077,31.629768,COLLINS DIALYSIS,15 COVINGTON RIDGE PLACE,COLLINS,MS,39428,Please call patient admission line,open,small_green,Dialysis Center,209
"{
  ""coordinates"": [
    -9.049720000000001e+01,
    3.318620000000000e+01
  ],
  ""type"": ""Point""
}",-90.4972,33.1862,410,"33.18622100,-90.49723200",-90.497232,33.186221,Fresenius Kidney Care Belzoni,16451 U.S. HIGHWAY 49,BELZONI,MS,39038,Please call patient admission line,open,small_green,Dialysis Center,210
"{
  ""coordinates"": [
    -8.843180000000000e+01,
    3.353660000000000e+01
  ],
  ""type"": ""Point""
}",-88.4318,33.5366,411,"33.53659200,-88.43180700",-88.431807,33.536592,Fresenius Kidney Care Lowdnes County Dialysis,3499 BLUECUTT ROAD,COLUMBUS,MS,39705,Please call patient admission line,open,small_green,Dialysis Center,211
"{
  ""coordinates"": [
    -8.940030000000000e+01,
    3.131040000000000e+01
  ],
  ""type"": ""Point""
}",-89.4003,31.3104,412,"31.31040700,-89.40027000",-89.40027,31.310407,HATTIESBURG CLINIC PA,6855 LINCOLN ROAD EXT,HATTIESBURG,MS,39402,Please call patient admission line,open,small_green,Dialysis Center,212
"{
  ""coordinates"": [
    -9.119459999999999e+01,
    3.082480000000000e+01
  ],
  ""type"": ""Point""
}",-91.1946,30.8248,474,"30.82478000,-91.19458100",-91.194581,30.82478,DIXON CORRECTIONAL INSTITUTE - DIALYSIS UNIT,5568 LA-68,JACKSON,LA,70748,Please call patient admission line,open,small_green,Dialysis Center,274
"{
  ""coordinates"": [
    -9.018110000000000e+01,
    3.000030000000000e+01
  ],
  ""type"": ""Point""
}",-90.1811,30.0003,476,"30.00028100,-90.18114300",-90.181143,30.000281,FMCNA - METAIRIE,4425 UTICA ST,METAIRIE,LA,70006,Please call patient admission line,open,small_green,Dialysis Center,276
"{
  ""coordinates"": [
    -9.013509999999999e+01,
    3.045730000000000e+01
  ],
  ""type"": ""Point""
}",-90.1351,30.4573,477,"30.45728000,-90.13511100",-90.135111,30.45728,FMCNA - PONTCHARTRAIN KIDNEY CTR,170 GREENBRIAR DR,COVINGTON,LA,70433,Please call patient admission line,open,small_green,Dialysis Center,277
"{
  ""coordinates"": [
    -9.209310000000001e+01,
    3.208340000000000e+01
  ],
  ""type"": ""Point""
}",-92.0931,32.0834,478,"32.08336100,-92.09312100",-92.093121,32.083361,FMCNA - CALDWELL PARISH,7720 US-165 STE 3,COLUMBIA,LA,71418,Please call patient admission line,open,small_green,Dialysis Center,278
"{
  ""coordinates"": [
    -9.238160000000001e+01,
    3.276790000000000e+01
  ],
  ""type"": ""Point""
}",-92.3816,32.7679,479,"32.76791000,-92.38163400",-92.381634,32.76791,FMCNA - UNION PARISH DX,1012 STERLINGTON HWY,FARMERVILLE,LA,71241,Please call patient admission line,open,small_green,Dialysis Center,279
"{
  ""coordinates"": [
    -9.326190000000000e+01,
    3.258550000000000e+01
  ],
  ""type"": ""Point""
}",-93.2619,32.5855,480,"32.58549300,-93.26189000",-93.26189,32.585493,FMCNA - EAST MINDEN,10000 INDUSTRIAL RD,MINDEN,LA,71055,Please call patient admission line,open,small_green,Dialysis Center,280
"{
  ""coordinates"": [
    -9.376430000000001e+01,
    3.253890000000000e+01
  ],
  ""type"": ""Point""
}",-93.7643,32.5389,481,"32.53890000,-93.76430600",-93.764306,32.5389,DCI - NORTH SHREVEPORT,1515 N HEARNE AVE,SHREVEPORT,LA,71107,Please call patient admission line,open,small_green,Dialysis Center,281
"{
  ""coordinates"": [
    -8.976580000000000e+01,
    3.027640000000000e+01
  ],
  ""type"": ""Point""
}",-89.7658,30.2764,482,"30.27639200,-89.76582800",-89.765828,30.276392,DaVita Fremaux Dialysis,1566 SHORTCUT HWY,SLIDELL,LA,70458,Please call patient admission line,open,small_green,Dialysis Center,282
"{
  ""coordinates"": [
    -9.097940000000000e+01,
    3.032070000000000e+01
  ],
  ""type"": ""Point""
}",-90.9794,30.3207,483,"30.32074300,-90.97940500",-90.979405,30.320743,DaVita Prairieville Dialysis,17123 COMMERCE CENTER DR,PRAIRIEVILLE,LA,70769,Please call patient admission line,open,small_green,Dialysis Center,283
