GEO,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD
"{
  ""coordinates"": [
    -8.649454910982938e+01,
    3.129579533011846e+01
  ],
  ""type"": ""Point""
}",1,0001336420,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET, PO BOX 760",ANDALUSIA,AL,36420,NOT AVAILABLE,(334) 222-8466,GENERAL ACUTE CARE,OPEN,88,COVINGTON,01039,USA,31.29579533,-86.49454911,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,http://www.andalusiaregionalhospital.com,H2001,NOT AVAILABLE,01,PROPRIETARY,-999,88,LEVEL III,Y
"{
  ""coordinates"": [
    -8.697840720975570e+01,
    3.480416392967238e+01
  ],
  ""type"": ""Point""
}",2,0001535611,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,NOT AVAILABLE,(256) 262-6468,GENERAL ACUTE CARE,OPEN,71,LIMESTONE,01083,USA,34.80416393,-86.97840721,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-10-02 00:00:00.000,http://www.athenslimestonehospital.com,H4201,NOT AVAILABLE,01,PROPRIETARY,-999,71,LEVEL III,N
"{
  ""coordinates"": [
    -8.747879850963547e+01,
    3.101702387019711e+01
  ],
  ""type"": ""Point""
}",3,0000136502,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DR,ATMORE,AL,36502,NOT AVAILABLE,(251) 368-2500,GENERAL ACUTE CARE,OPEN,51,ESCAMBIA,01053,USA,31.01702387,-87.47879851,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,http://www.ebaptisthealthcare.org/atmorecommunityhospital/,H2704,NOT AVAILABLE,01,NON-PROFIT,-999,51,LEVEL III,Y
"{
  ""coordinates"": [
    -8.617493002024807e+01,
    3.237639949972512e+01
  ],
  ""type"": ""Point""
}",4,0000236124,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD, PO BOX 241267",MONTGOMERY,AL,36117,1267,(334) 747-4410,GENERAL ACUTE CARE,OPEN,150,MONTGOMERY,01101,USA,32.3763995,-86.17493002,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-09-03 00:00:00.000,http://www.baptistfirst.org,H5107,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,150,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.627754934969879e+01,
    3.232815394985060e+01
  ],
  ""type"": ""Point""
}",5,0001736111,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD, PO BOX 11010",MONTGOMERY,AL,36111,0010,(334) 286-2100,GENERAL ACUTE CARE,OPEN,432,MONTGOMERY,01101,USA,32.32815395,-86.27754935,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.baptistfirst.org,H5102,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,432,LEVEL II,Y
"{
  ""coordinates"": [
    -8.817800813002930e+01,
    3.062480849001610e+01
  ],
  ""type"": ""Point""
}",6,0000436693,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,MOBILE,AL,36693,NOT AVAILABLE,(251) 450-5901,PSYCHIATRIC,OPEN,60,MOBILE,01097,USA,30.62480849,-88.17800813,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,http://www.altapointe.org,H4912,NOT AVAILABLE,01,NON-PROFIT,-999,60,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.626319151003736e+01,
    3.169458855028303e+01
  ],
  ""type"": ""Point""
}",7,0001836049,BEACONS CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,LUVERNE,AL,36049,NOT AVAILABLE,(334) 334-5040,PSYCHIATRIC,OPEN,28,CRENSHAW,01041,USA,31.69458855,-86.26319151,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-02-10 00:00:00.000,NOT AVAILABLE,H2102,NOT AVAILABLE,01,PROPRIETARY,-999,28,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.714831122984437e+01,
    3.295135837007106e+01
  ],
  ""type"": ""Point""
}",8,0002035042,BIBB MEDICAL CENTER,208 PIERSON AVENUE,CENTREVILLE,AL,35042,NOT AVAILABLE,(205) 926-4881,GENERAL ACUTE CARE,OPEN,35,BIBB,01007,USA,32.95135837,-87.14831123,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,http://www.bibbmedicalcenter.com,H0401,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,35,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.677666510026560e+01,
    3.346425992992519e+01
  ],
  ""type"": ""Point""
}",9,0196784204,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,HOMEWOOD,AL,35209,NOT AVAILABLE,(205) 877-1000,GENERAL ACUTE CARE,OPEN,595,JEFFERSON,01073,USA,33.46425993,-86.7766651,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2022-04-01 00:00:00.000,NOT AVAILABLE,H3721,NOT AVAILABLE,01,PROPRIETARY,-999,595,LEVEL III,Y
"{
  ""coordinates"": [
    -8.753815802029179e+01,
    3.321630309013673e+01
  ],
  ""type"": ""Point""
}",10,0002135401,BRYCE HOSPITAL,200 UNIVERSITY BOULEVARD,TUSCALOOSA,AL,35401,NOT AVAILABLE,(205) 759-0750,PSYCHIATRIC,OPEN,-999,TUSCALOOSA,01125,USA,33.21630309,-87.53815802,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,NOT AVAILABLE,H6304,NOT AVAILABLE,01,GOVERNMENT - STATE,-999,-999,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.571700932965973e+01,
    3.214663510990757e+01
  ],
  ""type"": ""Point""
}",11,0008236089,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,NOT AVAILABLE,(334) 738-2140,GENERAL ACUTE CARE,OPEN,61,BULLOCK,01011,USA,32.14663511,-85.71700933,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,NOT AVAILABLE,H0601,NOT AVAILABLE,01,PROPRIETARY,-999,61,NOT AVAILABLE,N
"{
  ""coordinates"": [
    -8.571214861033604e+01,
    3.244521832034915e+01
  ],
  ""type"": ""Point""
}",12,0001636083,CENTRAL ALABAMA VETERANS HEALTH CARE SYSTEM EAST CAMPUS,2400 HOSPITAL ROAD,TUSKEGEE,AL,36083,NOT AVAILABLE,(334) 727-0550,GENERAL ACUTE CARE,OPEN,143,MACON,01087,USA,32.44521832,-85.71214861,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2015-05-13 00:00:00.000,NOT AVAILABLE,H4401,NOT AVAILABLE,01,NOT AVAILABLE,-999,143,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.680515914005500e+01,
    3.350404815003155e+01
  ],
  ""type"": ""Point""
}",13,0000735233,CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,1711,(205) 638-9100,CHILDREN,OPEN,332,JEFFERSON,01073,USA,33.50404815,-86.80515914,622110,"CHILDREN'S HOSPITALS, GENERAL",https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2014-03-12 00:00:00.000,http://www.childrensal.org,H3704,NOT AVAILABLE,01,NON-PROFIT,-999,332,LEVEL I,Y
"{
  ""coordinates"": [
    -8.820949244041398e+01,
    3.209310533972616e+01
  ],
  ""type"": ""Point""
}",14,0002836904,CHOCTAW GENERAL HOSPITAL,401 VANITY FAIR DRIVE,BUTLER,AL,36904,NOT AVAILABLE,(205) 459-9100,CRITICAL ACCESS,OPEN,25,CHOCTAW,01023,USA,32.09310534,-88.20949244,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2013-09-09 00:00:00.000,http://www.choctawgeneral.com/cgh/,H1201,NOT AVAILABLE,01,NON-PROFIT,-999,25,NOT AVAILABLE,Y
"{
  ""coordinates"": [
    -8.609078340016161e+01,
    3.344027682016538e+01
  ],
  ""type"": ""Point""
}",15,0003035161,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE, PO BOX 978",TALLADEGA,AL,35161,NOT AVAILABLE,(205) 820-5930,GENERAL ACUTE CARE,OPEN,122,TALLADEGA,01121,USA,33.44027682,-86.0907834,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY,2014-02-10 00:00:00.000,http://www.bhsala.com/home_citizens.cfm?id=38,H6101,NOT AVAILABLE,01,PROPRIETARY,-999,122,LEVEL III,Y
"{
  ""coordinates"": [
    -8.582398277981783e+01,
    3.327756394030514e+01
  ],
  ""type"": ""Point""
}",16,0003236251,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9, PO BOX 1270",ASHLAND,AL,36251,NOT AVAILABLE,(256) 354-2131,GENERAL ACUTE CARE,OPEN,53,CLAY,01027,USA,33.27756394,-85.82398278,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://dph1.adph.state.al.us/facilitiesdirectory/,2024-04-11 00:00:00.000,IMAGERY/OTHER,2013-09-09 00:00:00.000,http://www.claycountyhospital.com,H1401,NOT AVAILABLE,01,GOVERNMENT - DISTRICT/AUTHORITY,-999,53,NOT AVAILABLE,Y
