GEO,LON,LAT,OBJECTID,SID,NAME,NATURE,BASIN,SUBBASIN,HURRICANE_DATE,YEAR,MONTH,DAY,USA_WIND,USA_PRES
"{
  ""coordinates"": [
    -7.890000152543560e+01,
    1.650000000042475e+01
  ],
  ""type"": ""Point""
}",-78.900001525,16.5,697221,2021239N17281,Ida,TS,NA,CS,2021-08-27 03:59:59.000,2021,8,26,30,1006
"{
  ""coordinates"": [
    -7.919999694817804e+01,
    1.700000000019356e+01
  ],
  ""type"": ""Point""
}",-79.199996948,17,697222,2021239N17281,Ida,TS,NA,CS,2021-08-27 03:59:59.000,2021,8,26,33,1006
"{
  ""coordinates"": [
    -7.950000000031218e+01,
    1.739999961858450e+01
  ],
  ""type"": ""Point""
}",-79.5,17.399999619,697223,2021239N17281,Ida,TS,NA,CS,2021-08-27 03:59:59.000,2021,8,26,35,1006
"{
  ""coordinates"": [
    -7.980000305154800e+01,
    1.779999923713862e+01
  ],
  ""type"": ""Point""
}",-79.800003052,17.799999237,697224,2021239N17281,Ida,TS,NA,CS,2021-08-27 03:59:59.000,2021,8,26,38,1005
"{
  ""coordinates"": [
    -8.019999694823846e+01,
    1.829999923688142e+01
  ],
  ""type"": ""Point""
}",-80.199996948,18.299999237,697225,2021239N17281,Ida,TS,NA,CS,2021-08-28 03:59:59.000,2021,8,27,40,1004
"{
  ""coordinates"": [
    -8.050000000037259e+01,
    1.879999923674558e+01
  ],
  ""type"": ""Point""
}",-80.5,18.799999237,697226,2021239N17281,Ida,TS,NA,CS,2021-08-28 03:59:59.000,2021,8,27,43,1003
"{
  ""coordinates"": [
    -8.090000152555646e+01,
    1.939999961824362e+01
  ],
  ""type"": ""Point""
}",-80.900001526,19.399999618,697227,2021239N17281,Ida,TS,NA,CS,2021-08-28 03:59:59.000,2021,8,27,45,1002
"{
  ""coordinates"": [
    -8.130000305163863e+01,
    1.989999961818562e+01
  ],
  ""type"": ""Point""
}",-81.300003052,19.899999618,697228,2021239N17281,Ida,TS,NA,CS,2021-08-28 03:59:59.000,2021,8,27,50,999
"{
  ""coordinates"": [
    -8.169999694832910e+01,
    2.039999961874725e+01
  ],
  ""type"": ""Point""
}",-81.699996948,20.399999619,697229,2021239N17281,Ida,TS,NA,CS,2021-08-28 03:59:59.000,2021,8,27,55,996
"{
  ""coordinates"": [
    -8.219999694835933e+01,
    2.099999999962836e+01
  ],
  ""type"": ""Point""
}",-82.199996948,21,697230,2021239N17281,Ida,TS,NA,CS,2021-08-28 03:59:59.000,2021,8,27,63,992
