GEO,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,TOT_RES,TOT_STAFF,BEDS,EXCESS_BED,OWNERSHIP,MEDICAIDID,MEDICAREID,STATE_LIC,SOURCETYPE
"{
  ""coordinates"": [
    -8.685033498800000e+01,
    3.351092672000000e+01
  ],
  ""type"": ""Point""
}",636,01368,"OAK KNOLL HEALTH AND REHABILITATION, LLC",824 SIXTH AVENUE WEST,BIRMINGHAM,AL,35204,NOT AVAILABLE,(205) 343-7335,NURSING HOME,OPEN,100,JEFFERSON,01073,USA,33.51092672,-86.850334988,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,100,-999,100,-999,LIMITED LIABILITY COMPANY,47-5757,01-5117,N3735,NURSING HOME
"{
  ""coordinates"": [
    -8.675114247899999e+01,
    3.475628364400010e+01
  ],
  ""type"": ""Point""
}",640,01302,"MADISON VILLAGE, LLC, THE",6016 WALL TRIANA HWY,MADISON,AL,35758,NOT AVAILABLE,(256) 830-2400,ASSISTED LIVING,OPEN,60,MADISON,01089,USA,34.756283644,-86.751142479,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,60,-999,60,-999,NON-PROFIT CORPORATION,NOT AVAILABLE,NOT AVAILABLE,D4518,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.758035871200001e+01,
    3.323843518500010e+01
  ],
  ""type"": ""Point""
}",641,01179,FOREST MANOR HEALTH AND REHAB,2215 32ND STREET,NORTHPORT,AL,35476,NOT AVAILABLE,(205) 339-5400,NURSING HOME,OPEN,182,TUSCALOOSA,01125,USA,33.238435185,-87.580358712,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,182,-999,182,-999,CORPORATION,47-5472,01-5143,N6306,NURSING HOME
"{
  ""coordinates"": [
    -8.740127200000001e+01,
    3.417026100000000e+01
  ],
  ""type"": ""Point""
}",642,01244,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,NOT AVAILABLE,(205) 343-7335,NURSING HOME,OPEN,110,WINSTON,01133,USA,34.170261,-87.401272,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/11/2021,NOT AVAILABLE,110,-999,110,-999,CORPORATION,47-5734,01-5138,N6702,NURSING HOME
"{
  ""coordinates"": [
    -8.730690460999990e+01,
    3.263113363500000e+01
  ],
  ""type"": ""Point""
}",647,01393,PERRY COUNTY NURSING HOME,505 EAST LAFAYETTE STREET,MARION,AL,36756,NOT AVAILABLE,(334) 683-9696,NURSING HOME,OPEN,71,PERRY,01105,USA,32.631133635,-87.30690461,623110,NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,71,-999,71,-999,COUNTY,47-5314,01-5158,N5301,NURSING HOME
"{
  ""coordinates"": [
    -8.703309127199999e+01,
    3.332173735300010e+01
  ],
  ""type"": ""Point""
}",648,01400,PLANTATION MANOR ASSISTED LIVING II,6440 OLD TUSCALOOSA HIGHWAY,MCCALLA,AL,35111,NOT AVAILABLE,(205) 477-6161,ASSISTED LIVING,OPEN,16,JEFFERSON,01073,USA,33.321737353,-87.033091272,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,P3716,ASSISTED LIVING FACILITY (SPECIALTY CARE)
"{
  ""coordinates"": [
    -8.763244170099991e+01,
    3.483267447800010e+01
  ],
  ""type"": ""Point""
}",650,01252,HILLTOP AT GLENWOOD I (SCALF),213 ANA DRIVE,FLORENCE,AL,35630,NOT AVAILABLE,(256) 767-2510,ASSISTED LIVING,OPEN,16,LAUDERDALE,01077,USA,34.832674478,-87.632441701,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,P3904,ASSISTED LIVING FACILITY (SPECIALTY CARE)
"{
  ""coordinates"": [
    -8.806567390799999e+01,
    3.068216448300010e+01
  ],
  ""type"": ""Point""
}",652,01354,MURRAY HOUSE,1257 GOVERNMENT STREET,MOBILE,AL,36604,NOT AVAILABLE,(251) 432-2272,ASSISTED LIVING,OPEN,64,MOBILE,01097,USA,30.682164483,-88.065673908,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,64,-999,64,-999,NON-PROFIT CORPORATION,NOT AVAILABLE,NOT AVAILABLE,D4938,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.684293465899999e+01,
    3.343790299900010e+01
  ],
  ""type"": ""Point""
}",653,01412,REGENCY RETIREMENT VILLAGE,285 WEST OXMOOR ROAD,BIRMINGHAM,AL,35209,NOT AVAILABLE,(205) 957-3355,ASSISTED LIVING,OPEN,48,JEFFERSON,01073,USA,33.437902999,-86.842934659,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,https://www.regencybirmingham.com/,48,-999,48,-999,LIMITED LIABILITY COMPANY,NOT AVAILABLE,NOT AVAILABLE,D3777,ASSISTED LIVING FACILITY
"{
  ""coordinates"": [
    -8.769396853300000e+01,
    3.490356805600000e+01
  ],
  ""type"": ""Point""
}",655,01219,GREEN OAKS INN - PEPPER HOUSE,140 PEPPER LANE,FLORENCE,AL,35633,NOT AVAILABLE,(256) 767-2080,ASSISTED LIVING,OPEN,16,LAUDERDALE,01077,USA,34.903568056,-87.693968533,623312,ASSISTED LIVING FACILITIES FOR THE ELDERLY,https://www.alabamapublichealth.gov/providerstandards/,6/5/2021,IMAGERY/OTHER,6/5/2021,NOT AVAILABLE,16,-999,16,-999,CORPORATION,NOT AVAILABLE,NOT AVAILABLE,P3903,ASSISTED LIVING FACILITY (SPECIALTY CARE)
