ID,BBOX,VERSION,SOURCES,LEVEL,HEIGHT,IS_UNDERGROUND,NUM_FLOORS,NUM_FLOORS_UNDERGROUND,MIN_HEIGHT,MIN_FLOOR,FACADE_COLOR,FACADE_MATERIAL,ROOF_MATERIAL,ROOF_SHAPE,ROOF_DIRECTION,ROOF_ORIENTATION,ROOF_COLOR,ROOF_HEIGHT,BUILDING_ID,GEOMETRY,NAMES
08b1f102b03aafff0201b5951be83bb8,"{
  ""xmax"": 9.152814865112305e+00,
  ""xmin"": 9.152636528015137e+00,
  ""ymax"": 5.234131622314453e+01,
  ""ymin"": 5.234120941162109e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470213@2"",
        ""update_time"": ""2021-05-17T05:21:17.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,across,#FF0000,,08b1f102b03aafff02008c06d38a7b11,"{
  ""coordinates"": [
    [
      [
        9.1527513,
        52.3413067
      ],
      [
        9.1526791,
        52.3413032
      ],
      [
        9.1526373,
        52.3413011
      ],
      [
        9.1526484,
        52.3412165
      ],
      [
        9.1528147,
        52.3412247
      ],
      [
        9.1528036,
        52.3413093
      ],
      [
        9.1527513,
        52.3413067
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0385fff02014934136c2123,"{
  ""xmax"": 9.152165412902832e+00,
  ""xmin"": 9.152031898498535e+00,
  ""ymax"": 5.234111022949219e+01,
  ""ymin"": 5.234103393554688e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w646030005@3"",
        ""update_time"": ""2020-11-18T17:59:58.000Z""
      }
    }
  ]
}",,,false,,,,,,,,flat,,,#778899,,08b1f102b0385fff020037ecce9bc5d2,"{
  ""coordinates"": [
    [
      [
        9.1520622,
        52.3411027
      ],
      [
        9.1520327,
        52.341064
      ],
      [
        9.1521175,
        52.34104
      ],
      [
        9.1521356,
        52.3410348
      ],
      [
        9.152165,
        52.3410735
      ],
      [
        9.1520622,
        52.3411027
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b038efff0201bacb426ed968,"{
  ""xmax"": 9.152867317199707e+00,
  ""xmin"": 9.152633666992188e+00,
  ""ymax"": 5.234048843383789e+01,
  ""ymin"": 5.234030532836914e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w971324557@1"",
        ""update_time"": ""2021-08-08T11:21:41.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b038efff0200538eee44bf01,"{
  ""coordinates"": [
    [
      [
        9.1528665,
        52.3404636
      ],
      [
        9.1526738,
        52.3404822
      ],
      [
        9.1526344,
        52.3403298
      ],
      [
        9.1528272,
        52.3403112
      ],
      [
        9.1528472,
        52.3403891
      ],
      [
        9.1528665,
        52.3404636
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0385fff020114b38e6fedd0,"{
  ""xmax"": 9.152062416076660e+00,
  ""xmin"": 9.151947975158691e+00,
  ""ymax"": 5.234112930297852e+01,
  ""ymin"": 5.234104537963867e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470218@1"",
        ""update_time"": ""2020-11-11T18:00:41.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b0385fff020037ecce9bc5d2,"{
  ""coordinates"": [
    [
      [
        9.1520192,
        52.3410462
      ],
      [
        9.1520327,
        52.341064
      ],
      [
        9.1520622,
        52.3411027
      ],
      [
        9.1519924,
        52.3411225
      ],
      [
        9.1519495,
        52.3410659
      ],
      [
        9.1520192,
        52.3410462
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0385fff020129016c3f4dbb,"{
  ""xmax"": 9.152105331420898e+00,
  ""xmin"": 9.151886940002441e+00,
  ""ymax"": 5.234107208251953e+01,
  ""ymin"": 5.234093856811523e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470219@1"",
        ""update_time"": ""2020-11-11T18:00:41.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b0385fff020037ecce9bc5d2,"{
  ""coordinates"": [
    [
      [
        9.1520418,
        52.3409404
      ],
      [
        9.1521039,
        52.3410221
      ],
      [
        9.1520192,
        52.3410462
      ],
      [
        9.1519495,
        52.3410659
      ],
      [
        9.1518873,
        52.3409842
      ],
      [
        9.1520418,
        52.3409404
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0385fff0201798748f43746,"{
  ""xmax"": 9.152567863464355e+00,
  ""xmin"": 9.152433395385742e+00,
  ""ymax"": 5.234125137329102e+01,
  ""ymin"": 5.234109497070312e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470215@2"",
        ""update_time"": ""2021-08-18T17:48:55.000Z""
      }
    }
  ]
}",,,false,1,,,,#FF0000,brick,,gabled,,,#FF0000,,08b1f102b0385fff02006ecf65008cbf,"{
  ""coordinates"": [
    [
      [
        9.1525663,
        52.341098
      ],
      [
        9.1525643,
        52.341156
      ],
      [
        9.1525609,
        52.3412512
      ],
      [
        9.1524343,
        52.3412496
      ],
      [
        9.1524396,
        52.3410963
      ],
      [
        9.1525663,
        52.341098
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0385fff0201b6be05e777bb,"{
  ""xmax"": 9.152117729187012e+00,
  ""xmin"": 9.152018547058105e+00,
  ""ymax"": 5.234106445312500e+01,
  ""ymin"": 5.234101486206055e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470217@1"",
        ""update_time"": ""2020-11-11T18:00:41.000Z""
      }
    }
  ]
}",,,false,,,,,,,,skillion,,,#FF0000,,08b1f102b0385fff020037ecce9bc5d2,"{
  ""coordinates"": [
    [
      [
        9.1520192,
        52.3410462
      ],
      [
        9.1521039,
        52.3410221
      ],
      [
        9.1521175,
        52.34104
      ],
      [
        9.1520327,
        52.341064
      ],
      [
        9.1520192,
        52.3410462
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b03aafff0201a81883c24d63,"{
  ""xmax"": 9.152615547180176e+00,
  ""xmin"": 9.152560234069824e+00,
  ""ymax"": 5.234125900268555e+01,
  ""ymin"": 5.234114837646484e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470214@2"",
        ""update_time"": ""2021-08-18T17:48:55.000Z""
      }
    }
  ]
}",,,false,1,,,,#FF0000,brick,,,,,#FF0000,,08b1f102b0385fff02006ecf65008cbf,"{
  ""coordinates"": [
    [
      [
        9.1525609,
        52.3412512
      ],
      [
        9.1525643,
        52.341156
      ],
      [
        9.1526153,
        52.3411567
      ],
      [
        9.1526119,
        52.3412519
      ],
      [
        9.1525609,
        52.3412512
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b03aefff0201c2a6ddc7cf7e,"{
  ""xmax"": 9.152751922607422e+00,
  ""xmin"": 9.152676582336426e+00,
  ""ymax"": 5.234132385253906e+01,
  ""ymin"": 5.234129714965820e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w870470212@1"",
        ""update_time"": ""2020-11-11T18:00:41.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b03aafff02008c06d38a7b11,"{
  ""coordinates"": [
    [
      [
        9.1527513,
        52.3413067
      ],
      [
        9.1527491,
        52.3413233
      ],
      [
        9.1526769,
        52.3413198
      ],
      [
        9.1526791,
        52.3413032
      ],
      [
        9.1527513,
        52.3413067
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
08b1f102b0389fff020123d5e9aa5c89,"{
  ""xmax"": 9.154225349426270e+00,
  ""xmin"": 9.154036521911621e+00,
  ""ymax"": 5.234069061279297e+01,
  ""ymin"": 5.234057235717773e+01
}",0,"{
  ""list"": [
    {
      ""element"": {
        ""dataset"": ""OpenStreetMap"",
        ""property"": """",
        ""record_id"": ""w972644033@1"",
        ""update_time"": ""2021-08-12T17:30:03.000Z""
      }
    }
  ]
}",,,false,,,,,,,,gabled,,,#FF0000,,08b1f102b0389fff020024f9daaa3286,"{
  ""coordinates"": [
    [
      [
        9.1540369,
        52.3406036
      ],
      [
        9.1541625,
        52.3405786
      ],
      [
        9.1541871,
        52.3406248
      ],
      [
        9.1542076,
        52.3406207
      ],
      [
        9.1542253,
        52.3406539
      ],
      [
        9.1541634,
        52.3406662
      ],
      [
        9.1540793,
        52.340683
      ],
      [
        9.1540614,
        52.3406495
      ],
      [
        9.1540369,
        52.3406036
      ]
    ]
  ],
  ""type"": ""Polygon""
}",
